證期會代碼,公司簡稱,分類代碼,分類名稱
04881P,日盛Y4,0999P,認售權證
04882P,HT元大,0999P,認售權證
04883P,HU元大,0999P,認售權證
04884P,國泰GS,0999P,認售權證
04885P,凱基HZ,0999P,認售權證
04886P,凱基JD,0999P,認售權證
04887P,凱基JF,0999P,認售權證
04888P,凱基JG,0999P,認售權證
04889P,群益BY,0999P,認售權證
04890P,群益BZ,0999P,認售權證
04891P,群益CE,0999P,認售權證
04892P,群益CF,0999P,認售權證
04893P,群益CG,0999P,認售權證
04894P,群益CH,0999P,認售權證
04895P,群益CI,0999P,認售權證
04896P,統一LE,0999P,認售權證
04897P,統一LF,0999P,認售權證
04898P,元富1V,0999P,認售權證
04899P,元富1W,0999P,認售權證
04900P,兆豐MV,0999P,認售權證
04901P,兆豐MW,0999P,認售權證
04902P,兆豐MX,0999P,認售權證
04903P,兆豐MY,0999P,認售權證
04904P,兆豐MZ,0999P,認售權證
04905P,兆豐NA,0999P,認售權證
04906P,06中信,0999P,認售權證
04907P,群益CN,0999P,認售權證
04908P,群益CP,0999P,認售權證
04909P,HV元大,0999P,認售權證
04910P,康和FY,0999P,認售權證
04911P,康和FZ,0999P,認售權證
04912P,康和GA,0999P,認售權證
04913P,康和GC,0999P,認售權證
04914P,康和GD,0999P,認售權證
04915P,元富1Z,0999P,認售權證
04916P,元富2A,0999P,認售權證
04917P,10中信,0999P,認售權證
04918P,D5亞東,0999P,認售權證
04919P,D6亞東,0999P,認售權證
04920P,永豐95,0999P,認售權證
04921P,永豐96,0999P,認售權證
04922P,凱基JK,0999P,認售權證
04923P,凱基JP,0999P,認售權證
04924P,群益CR,0999P,認售權證
04925P,群益CS,0999P,認售權證
04926P,群益CV,0999P,認售權證
04927P,群益CW,0999P,認售權證
04928P,康和GF,0999P,認售權證
04929P,IB元大,0999P,認售權證
04930P,IC元大,0999P,認售權證
04931P,群益CZ,0999P,認售權證
04932P,群益DA,0999P,認售權證
04933P,凱基JR,0999P,認售權證
04934P,D7亞東,0999P,認售權證
04935P,元富2F,0999P,認售權證
04936P,元富2G,0999P,認售權證
04937P,20中信,0999P,認售權證
04938P,21中信,0999P,認售權證
04939P,22中信,0999P,認售權證
04940P,23中信,0999P,認售權證
04941P,24中信,0999P,認售權證
04942P,國泰GT,0999P,認售權證
04943P,IG元大,0999P,認售權證
04944P,IH元大,0999P,認售權證
04945P,兆豐NN,0999P,認售權證
04946P,兆豐NP,0999P,認售權證
04947P,兆豐NQ,0999P,認售權證
04948P,兆豐NR,0999P,認售權證
04949P,日盛Z1,0999P,認售權證
04950P,凱基JW,0999P,認售權證
04951P,IP元大,0999P,認售權證
04952P,IQ元大,0999P,認售權證
04953P,IR元大,0999P,認售權證
04954P,元富2M,0999P,認售權證
04955P,元富2N,0999P,認售權證
04956P,元富2P,0999P,認售權證
04957P,69富邦,0999P,認售權證
04958P,日盛Z3,0999P,認售權證
04959P,日盛Z4,0999P,認售權證
04960P,群益DE,0999P,認售權證
04961P,群益DF,0999P,認售權證
04962P,群益DG,0999P,認售權證
04963P,群益DJ,0999P,認售權證
04964P,群益DK,0999P,認售權證
04965P,群益DL,0999P,認售權證
04966P,IZ元大,0999P,認售權證
04967P,JA元大,0999P,認售權證
04968P,JB元大,0999P,認售權證
04969P,JC元大,0999P,認售權證
04970P,JD元大,0999P,認售權證
04971P,國泰GU,0999P,認售權證
04972P,康和GG,0999P,認售權證
04973P,康和GH,0999P,認售權證
04974P,元富2U,0999P,認售權證
04975P,31中信,0999P,認售權證
04976P,32中信,0999P,認售權證
04977P,凱基JZ,0999P,認售權證
04978P,凱基KA,0999P,認售權證
04979P,E2亞東,0999P,認售權證
04980P,E3亞東,0999P,認售權證
04981P,國泰HA,0999P,認售權證
04982P,國泰HB,0999P,認售權證
04983P,凱基KC,0999P,認售權證
04984P,凱基KD,0999P,認售權證
04985P,凱基KE,0999P,認售權證
04986P,35中信,0999P,認售權證
04987P,36中信,0999P,認售權證
04988P,元富2Z,0999P,認售權證
04989P,日盛Z7,0999P,認售權證
04990P,日盛Z8,0999P,認售權證
04991P,永豐1P,0999P,認售權證
04992P,E5亞東,0999P,認售權證
04993P,E6亞東,0999P,認售權證
04994P,77富邦,0999P,認售權證
04995P,日盛AA,0999P,認售權證
04996P,80富邦,0999P,認售權證
04997P,群益DS,0999P,認售權證
04998P,群益DT,0999P,認售權證
04999P,永豐1T,0999P,認售權證
05000P,永豐1U,0999P,認售權證
05001P,工銀01,0999P,認售權證
05002P,工銀06,0999P,認售權證
05003P,工銀NZ,0999P,認售權證
05004P,41中信,0999P,認售權證
05005P,凱基KT,0999P,認售權證
05006P,兆豐2E,0999P,認售權證
05007P,兆豐2F,0999P,認售權證
05008P,永豐1Z,0999P,認售權證
05009P,永豐2A,0999P,認售權證
05010P,國泰HH,0999P,認售權證
05011P,國泰HJ,0999P,認售權證
05012P,JU元大,0999P,認售權證
05013P,統一MA,0999P,認售權證
05014P,元富3J,0999P,認售權證
05015P,元富3K,0999P,認售權證
05016P,元富3L,0999P,認售權證
05017P,元富3M,0999P,認售權證
05018P,元富3N,0999P,認售權證
05019P,元富3P,0999P,認售權證
05020P,康和GK,0999P,認售權證
05021P,康和GL,0999P,認售權證
05022P,日盛AJ,0999P,認售權證
05023P,日盛AL,0999P,認售權證
05024P,KB元大,0999P,認售權證
05025P,KC元大,0999P,認售權證
05026P,群益DY,0999P,認售權證
05027P,群益DZ,0999P,認售權證
05028P,群益EE,0999P,認售權證
05029P,群益EF,0999P,認售權證
05030P,國票HT,0999P,認售權證
05031P,國票HY,0999P,認售權證
05032P,元富3V,0999P,認售權證
05033P,元富3W,0999P,認售權證
05034P,85富邦,0999P,認售權證
05035P,86富邦,0999P,認售權證
05036P,93富邦,0999P,認售權證
05037P,94富邦,0999P,認售權證
05038P,95富邦,0999P,認售權證
05039P,KQ元大,0999P,認售權證
05040P,KR元大,0999P,認售權證
05041P,凱基LE,0999P,認售權證
05042P,統一MF,0999P,認售權證
05043P,康和GP,0999P,認售權證
05044P,49中信,0999P,認售權證
05045P,KS元大,0999P,認售權證
05046P,國泰HN,0999P,認售權證
05047P,國泰HP,0999P,認售權證
05048P,凱基LC,0999P,認售權證
05049P,凱基LD,0999P,認售權證
05050P,兆豐2H,0999P,認售權證
05051P,兆豐2J,0999P,認售權證
05052P,群益EJ,0999P,認售權證
05053P,群益EK,0999P,認售權證
05054P,群益ET,0999P,認售權證
05055P,群益EU,0999P,認售權證
05056P,統一MJ,0999P,認售權證
05057P,元富4C,0999P,認售權證
05058P,KW元大,0999P,認售權證
05059P,凱基LQ,0999P,認售權證
05060P,康和GQ,0999P,認售權證
05061P,99富邦,0999P,認售權證
05062P,A1富邦,0999P,認售權證
05063P,群益EY,0999P,認售權證
05064P,群益EZ,0999P,認售權證
05065P,群益FD,0999P,認售權證
05066P,元富4H,0999P,認售權證
05067P,凱基LT,0999P,認售權證
05068P,KZ元大,0999P,認售權證
05069P,LA元大,0999P,認售權證
05070P,LB元大,0999P,認售權證
05071P,LC元大,0999P,認售權證
05072P,LD元大,0999P,認售權證
05073P,群益FH,0999P,認售權證
05074P,兆豐3C,0999P,認售權證
05075P,兆豐3D,0999P,認售權證
05076P,兆豐3E,0999P,認售權證
05077P,兆豐3F,0999P,認售權證
05078P,凱基LY,0999P,認售權證
05079P,凱基LZ,0999P,認售權證
05080P,凱基MF,0999P,認售權證
05081P,統一MP,0999P,認售權證
05082P,統一MQ,0999P,認售權證
05083P,A2富邦,0999P,認售權證
05084P,LP元大,0999P,認售權證
05085P,工銀10,0999P,認售權證
05086P,工銀11,0999P,認售權證
05087P,永豐3E,0999P,認售權證
05088P,永豐3F,0999P,認售權證
05089P,永豐3G,0999P,認售權證
05090P,康和GU,0999P,認售權證
05091P,國票JC,0999P,認售權證
05092P,國票JD,0999P,認售權證
05093P,元富4U,0999P,認售權證
